,end,val,accn,fy,fp,form,filed,frame,ticker
0,2008-09-27,39572000000,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,,AAPL
1,2008-09-27,36171000000,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,CY2008Q3I,AAPL
2,2009-09-26,53851000000,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,,AAPL
3,2009-09-26,47501000000,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,,AAPL
4,2009-09-26,47501000000,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,CY2009Q3I,AAPL
5,2010-09-25,75183000000,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,,AAPL
6,2010-09-25,75183000000,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,CY2010Q3I,AAPL
7,2011-09-24,116371000000,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,,AAPL
8,2011-09-24,116371000000,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,,AAPL
9,2012-09-29,176064000000,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,,AAPL
10,2012-09-29,176064000000,0001193125-13-416534,2013.0,FY,10-K,2013-10-30,CY2012Q3I,AAPL
11,2013-09-28,207000000000,0001193125-13-416534,2013.0,FY,10-K,2013-10-30,,AAPL
12,2013-09-28,207000000000,0001193125-14-383437,2014.0,FY,10-K,2014-10-27,,AAPL
13,2014-09-27,231839000000,0001193125-14-383437,2014.0,FY,10-K,2014-10-27,,AAPL
14,2014-09-27,231839000000,0001193125-15-356351,2015.0,FY,10-K,2015-10-28,CY2014Q3I,AAPL
15,2015-09-26,290479000000,0001193125-15-356351,2015.0,FY,10-K,2015-10-28,,AAPL
16,2015-09-26,290345000000,0001628280-16-020309,2016.0,FY,10-K,2016-10-26,CY2015Q3I,AAPL
17,2016-09-24,321686000000,0001628280-16-020309,2016.0,FY,10-K,2016-10-26,,AAPL
18,2016-09-24,321686000000,0000320193-17-000070,2017.0,FY,10-K,2017-11-03,CY2016Q3I,AAPL
19,2017-09-30,375319000000,0000320193-17-000070,2017.0,FY,10-K,2017-11-03,,AAPL
20,2017-09-30,375319000000,0000320193-18-000145,2018.0,FY,10-K,2018-11-05,CY2017Q3I,AAPL
21,2018-09-29,365725000000,0000320193-18-000145,2018.0,FY,10-K,2018-11-05,,AAPL
22,2018-09-29,365725000000,0000320193-19-000119,2019.0,FY,10-K,2019-10-31,CY2018Q3I,AAPL
23,2019-09-28,338516000000,0000320193-19-000119,2019.0,FY,10-K,2019-10-31,,AAPL
24,2019-09-28,338516000000,0000320193-20-000096,2020.0,FY,10-K,2020-10-30,CY2019Q3I,AAPL
25,2020-09-26,323888000000,0000320193-20-000096,2020.0,FY,10-K,2020-10-30,,AAPL
26,2020-09-26,323888000000,0000320193-21-000105,2021.0,FY,10-K,2021-10-29,CY2020Q3I,AAPL
27,2021-09-25,351002000000,0000320193-21-000105,2021.0,FY,10-K,2021-10-29,,AAPL
28,2021-09-25,351002000000,0000320193-22-000108,2022.0,FY,10-K,2022-10-28,CY2021Q3I,AAPL
29,2022-09-24,352755000000,0000320193-22-000108,2022.0,FY,10-K,2022-10-28,,AAPL
30,2022-09-24,352755000000,0000320193-23-000106,2023.0,FY,10-K,2023-11-03,CY2022Q3I,AAPL
31,2023-09-30,352583000000,0000320193-23-000106,2023.0,FY,10-K,2023-11-03,,AAPL
32,2009-06-30,77888000000,0001193125-10-171791,2010.0,FY,10-K,2010-07-30,CY2009Q2I,MSFT
33,2010-06-30,86113000000,0001193125-10-171791,2010.0,FY,10-K,2010-07-30,,MSFT
34,2010-06-30,86113000000,0001193125-11-200680,2011.0,FY,10-K,2011-07-28,CY2010Q2I,MSFT
35,2011-06-30,108704000000,0001193125-11-200680,2011.0,FY,10-K,2011-07-28,,MSFT
36,2011-06-30,108704000000,0001193125-12-316848,2012.0,FY,10-K,2012-07-26,CY2011Q2I,MSFT
37,2012-06-30,121271000000,0001193125-12-316848,2012.0,FY,10-K,2012-07-26,,MSFT
