,end,val,accn,fy,fp,form,filed,frame,ticker
0,2008-09-27,39572000000,0001193125-09-153165,2009.0,Q3,10-Q,2009-07-22,,AAPL
1,2008-09-27,39572000000,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,,AAPL
2,2008-09-27,36171000000,0001193125-10-012091,2009.0,FY,10-K/A,2010-01-25,,AAPL
3,2008-09-27,36171000000,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,CY2008Q3I,AAPL
4,2009-06-27,48140000000,0001193125-09-153165,2009.0,Q3,10-Q,2009-07-22,CY2009Q2I,AAPL
5,2009-09-26,53851000000,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,,AAPL
6,2009-09-26,47501000000,0001193125-10-012085,2010.0,Q1,10-Q,2010-01-25,,AAPL
7,2009-09-26,47501000000,0001193125-10-012091,2009.0,FY,10-K/A,2010-01-25,,AAPL
8,2009-09-26,47501000000,0001193125-10-088957,2010.0,Q2,10-Q,2010-04-21,,AAPL
9,2009-09-26,47501000000,0001193125-10-162840,2010.0,Q3,10-Q,2010-07-21,,AAPL
10,2009-09-26,47501000000,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,,AAPL
11,2009-09-26,47501000000,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,CY2009Q3I,AAPL
12,2009-12-26,53926000000,0001193125-10-012085,2010.0,Q1,10-Q,2010-01-25,CY2009Q4I,AAPL
13,2010-03-27,57057000000,0001193125-10-088957,2010.0,Q2,10-Q,2010-04-21,CY2010Q1I,AAPL
14,2010-06-26,64725000000,0001193125-10-162840,2010.0,Q3,10-Q,2010-07-21,CY2010Q2I,AAPL
15,2010-09-25,75183000000,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,,AAPL
16,2010-09-25,75183000000,0001193125-11-010144,2011.0,Q1,10-Q,2011-01-19,,AAPL
17,2010-09-25,75183000000,0001193125-11-104388,2011.0,Q2,10-Q,2011-04-21,,AAPL
18,2010-09-25,75183000000,0001193125-11-192493,2011.0,Q3,10-Q,2011-07-20,,AAPL
19,2010-09-25,75183000000,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,CY2010Q3I,AAPL
20,2010-12-25,86742000000,0001193125-11-010144,2011.0,Q1,10-Q,2011-01-19,CY2010Q4I,AAPL
21,2011-03-26,94904000000,0001193125-11-104388,2011.0,Q2,10-Q,2011-04-21,CY2011Q1I,AAPL
22,2011-06-25,106758000000,0001193125-11-192493,2011.0,Q3,10-Q,2011-07-20,CY2011Q2I,AAPL
23,2011-09-24,116371000000,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,,AAPL
24,2011-09-24,116371000000,0001193125-12-023398,2012.0,Q1,10-Q,2012-01-25,,AAPL
25,2011-09-24,116371000000,0001193125-12-182321,2012.0,Q2,10-Q,2012-04-25,,AAPL
26,2011-09-24,116371000000,0001193125-12-314552,2012.0,Q3,10-Q,2012-07-25,,AAPL
27,2011-09-24,116371000000,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,,AAPL
28,2011-09-24,116371000000,0001193125-13-170623,2012.0,FY,8-K,2013-04-24,CY2011Q3I,AAPL
29,2011-12-31,138681000000,0001193125-12-023398,2012.0,Q1,10-Q,2012-01-25,CY2011Q4I,AAPL
30,2012-03-31,150934000000,0001193125-12-182321,2012.0,Q2,10-Q,2012-04-25,CY2012Q1I,AAPL
31,2012-06-30,162896000000,0001193125-12-314552,2012.0,Q3,10-Q,2012-07-25,CY2012Q2I,AAPL
32,2012-09-29,176064000000,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,,AAPL
33,2012-09-29,176064000000,0001193125-13-022339,2013.0,Q1,10-Q,2013-01-24,,AAPL
34,2012-09-29,176064000000,0001193125-13-168288,2013.0,Q2,10-Q,2013-04-24,,AAPL
35,2012-09-29,176064000000,0001193125-13-170623,2012.0,FY,8-K,2013-04-24,,AAPL
36,2012-09-29,176064000000,0001193125-13-300670,2013.0,Q3,10-Q,2013-07-24,,AAPL
37,2012-09-29,176064000000,0001193125-13-416534,2013.0,FY,10-K,2013-10-30,CY2012Q3I,AAPL
38,2012-12-29,196088000000,0001193125-13-022339,2013.0,Q1,10-Q,2013-01-24,CY2012Q4I,AAPL
39,2013-03-30,194743000000,0001193125-13-168288,2013.0,Q2,10-Q,2013-04-24,CY2013Q1I,AAPL
40,2013-06-29,199856000000,0001193125-13-300670,2013.0,Q3,10-Q,2013-07-24,CY2013Q2I,AAPL
41,2013-09-28,207000000000,0001193125-13-416534,2013.0,FY,10-K,2013-10-30,,AAPL
42,2013-09-28,207000000000,0001193125-14-024487,2014.0,Q1,10-Q,2014-01-28,,AAPL
43,2013-09-28,207000000000,0001193125-14-157311,2014.0,Q2,10-Q,2014-04-24,,AAPL
44,2013-09-28,207000000000,0001193125-14-277160,2014.0,Q3,10-Q,2014-07-23,,AAPL
45,2013-09-28,207000000000,0001193125-14-383437,2014.0,FY,10-K,2014-10-27,,AAPL
46,2013-09-28,207000000000,0001193125-15-023732,2014.0,FY,8-K,2015-01-28,CY2013Q3I,AAPL
47,2013-12-28,225184000000,0001193125-14-024487,2014.0,Q1,10-Q,2014-01-28,CY2013Q4I,AAPL
48,2014-03-29,205989000000,0001193125-14-157311,2014.0,Q2,10-Q,2014-04-24,CY2014Q1I,AAPL
49,2014-06-28,222520000000,0001193125-14-277160,2014.0,Q3,10-Q,2014-07-23,CY2014Q2I,AAPL
50,2014-09-27,231839000000,0001193125-14-383437,2014.0,FY,10-K,2014-10-27,,AAPL
51,2014-09-27,231839000000,0001193125-15-023697,2015.0,Q1,10-Q,2015-01-28,,AAPL
52,2014-09-27,231839000000,0001193125-15-023732,2014.0,FY,8-K,2015-01-28,,AAPL
53,2014-09-27,231839000000,0001193125-15-153166,2015.0,Q2,10-Q,2015-04-28,,AAPL
54,2014-09-27,231839000000,0001193125-15-259935,2015.0,Q3,10-Q,2015-07-22,,AAPL
55,2014-09-27,231839000000,0001193125-15-356351,2015.0,FY,10-K,2015-10-28,CY2014Q3I,AAPL
56,2014-12-27,261894000000,0001193125-15-023697,2015.0,Q1,10-Q,2015-01-28,CY2014Q4I,AAPL
57,2015-03-28,261194000000,0001193125-15-153166,2015.0,Q2,10-Q,2015-04-28,CY2015Q1I,AAPL
58,2015-06-27,273151000000,0001193125-15-259935,2015.0,Q3,10-Q,2015-07-22,CY2015Q2I,AAPL
59,2015-09-26,290479000000,0001193125-15-356351,2015.0,FY,10-K,2015-10-28,,AAPL
60,2015-09-26,290479000000,0001193125-16-439878,2016.0,Q1,10-Q,2016-01-27,,AAPL
61,2015-09-26,290479000000,0001193125-16-559625,2016.0,Q2,10-Q,2016-04-27,,AAPL
62,2015-09-26,290479000000,0001628280-16-017809,2016.0,Q3,10-Q,2016-07-27,,AAPL
63,2015-09-26,290345000000,0001628280-16-020309,2016.0,FY,10-K,2016-10-26,CY2015Q3I,AAPL
64,2015-12-26,293284000000,0001193125-16-439878,2016.0,Q1,10-Q,2016-01-27,CY2015Q4I,AAPL
65,2016-03-26,305277000000,0001193125-16-559625,2016.0,Q2,10-Q,2016-04-27,CY2016Q1I,AAPL
66,2016-06-25,305602000000,0001628280-16-017809,2016.0,Q3,10-Q,2016-07-27,CY2016Q2I,AAPL
67,2016-09-24,321686000000,0001628280-16-020309,2016.0,FY,10-K,2016-10-26,,AAPL
68,2016-09-24,321686000000,0001628280-17-000717,2017.0,Q1,10-Q,2017-02-01,,AAPL
69,2016-09-24,321686000000,0001628280-17-004790,2017.0,Q2,10-Q,2017-05-03,,AAPL
70,2016-09-24,321686000000,0000320193-17-000009,2017.0,Q3,10-Q,2017-08-02,,AAPL
71,2016-09-24,321686000000,0000320193-17-000070,2017.0,FY,10-K,2017-11-03,CY2016Q3I,AAPL
72,2016-12-31,331141000000,0001628280-17-000717,2017.0,Q1,10-Q,2017-02-01,CY2016Q4I,AAPL
73,2017-04-01,334532000000,0001628280-17-004790,2017.0,Q2,10-Q,2017-05-03,CY2017Q1I,AAPL
74,2017-07-01,345173000000,0000320193-17-000009,2017.0,Q3,10-Q,2017-08-02,CY2017Q2I,AAPL
75,2017-09-30,375319000000,0000320193-17-000070,2017.0,FY,10-K,2017-11-03,,AAPL
76,2017-09-30,375319000000,0000320193-18-000007,2018.0,Q1,10-Q,2018-02-02,,AAPL
77,2017-09-30,375319000000,0000320193-18-000070,2018.0,Q2,10-Q,2018-05-02,,AAPL
